Blog	four	looking	second	here	music	until	example	want	how	series	re	service	project	tech	came	best	country	asked	much	life	things	had	has	right	old	people	sure	continue	support	time	team	sign	along	love	working	such	data	so	years	didn	internet	million	quite	open	future	san	say	take	drive	ways	going	where	up	screen	many	photos	technology	being	around	world	power	favorite	her	site	am	an	as	having	tv	th	case	large	small	past	hours	via	company	states	its	always	found	really	major	number	show	self	also	play	sometimes	set	see	available	last	whole	community	person	using	couple	d	by	anything	into	link	line	us	ago	try	video	let	great	makes	tools	next	process	high	doing	could	system	face	should	hope	move	means	stuff	email	co	ve	less	web	five	become	problem	all	told	thursday	word	work	after	then	them	they	another	do	away	com	easy	night	security	post	months	way	was	update	together	global	cost	change	live	car	can	heard	product	remember	still	not	now	year	space	shows	care	friend	than	online	only	between	comes	these	media	real	read	business	your	aren	start	lot	trying	since	month	very	family	put	takes	almost	help	actually	ask	american	off	mobile	latest	pretty	during	won	probably	both	else	lives	look	while	used	march	game	some	step	within	doesn	e	go	does	facebook	click	started	control	links	including	special	times	wikileaks	need	able	based	course	she	key	single	i	well	page	twitter	home	he	stay	friends	amp	updates	companies	likely	even	ever	never	call	tell	give	president	before	personal	better	weeks	went	side	content	isn	matter	seen	seem	don	m	stop	bad	decided	said	against	three	seven	if	make	left	just	human	yes	yet	deal	popular	down	digital	daily	did	run	making	may	man	maybe	talk	nbsp	group	interesting	living	thing	think	first	long	little	anyone	were	enough	get	morning	reading	across	mark	those	different	pay	same	running	money	again	important	u	public	search	two	share	needs	through	good	everyone	house	hard	idea	done	least	part	believe	most	find	please	understand	itself	spend	big	bit	google	often	back	giving	others	later	themselves	ll	day	announced	text	taking	value	helped	thought	add	like	works	buy	our	under	every	would	phone	must	me	my	keep	end	over	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	full	news	conference	been	quickly	several	social	everything	head	donald	no	when	focus	cool	says	goes	water	today	thousands	trump	information	platform	happened	feature	name	turn	place	coming	given	white	any	ideas	state	review	outside	come	myself	someone	week	without	seems	blog	or	there	follow	woman	far	list	design	version	rather	short	might	health	feel	story	store	nothing	his	him	wrote	are	recently	question	fast	called	users	once	issues	app	use	few	women	something	united	six	instead	looks	related	out	york	their	which	who	why	view	stories	job	will	gets	point	book	know	because	getting	own	apps	made	whether	below	other
	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	1	0	0	1	0	0	0	0	1	3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	12	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	1	0	0	0	3	0	0	1	0	0	2	0	2	0	1	3	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	1	1	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	2	4	0	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	8	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	1	0	2	0	0	0	2	1	1	1	0	0	0	2	1	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	2	0	0	2	0	1	0	0	0	0	0	2	0	2	0	0	5	0	0	0	0	1	0	0	0	1	0	0	2	1	6	0	0	0	1	0	0	0	0	2	0	0	1	0	2	0	3	0	0	0	0	2	0	0	0	1	0	0	3
PaulStamatiou.com - Technology, Design and Photography	4	11	16	38	10	15	14	54	94	4	68	26	38	9	12	21	5	8	96	20	31	91	42	25	21	42	20	4	22	91	22	0	24	9	53	17	40	134	19	24	5	4	15	16	11	7	11	26	20	7	39	38	121	24	23	42	0	21	52	17	38	6	3	45	10	132	213	29	6	0	15	8	16	6	9	22	3	6	13	24	21	21	0	28	13	2	82	11	2	20	42	7	41	12	6	2	57	0	34	115	18	65	7	27	13	11	16	65	26	25	11	12	39	29	13	8	52	22	2	36	1	4	8	9	9	2	44	14	23	1	5	6	62	2	0	4	63	46	56	47	88	32	79	13	24	16	5	1	38	13	48	214	20	4	3	7	17	9	4	172	7	13	4	47	150	90	22	6	44	4	5	45	7	117	27	11	37	9	29	49	3	245	0	22	9	15	37	22	30	3	30	6	8	15	37	11	0	53	40	4	11	14	17	18	13	7	5	51	76	41	0	5	90	14	4	16	5	27	24	2	11	25	25	1	10	2	24	0	64	26	7	18	0	6	10	834	41	42	58	19	19	3	8	28	3	1	7	43	4	16	20	13	13	2	31	6	66	11	7	9	7	3	2	5	3	47	55	3	4	13	10	3	9	0	162	42	8	144	0	8	8	4	15	33	17	10	28	37	14	19	1	3	5	6	9	9	6	22	26	60	19	6	1	45	21	127	3	44	11	2	20	8	4	36	23	3	9	7	0	3	4	35	17	12	33	31	9	11	18	9	22	9	40	3	28	31	6	5	8	4	11	47	76	17	27	0	6	18	8	56	26	2	1	11	9	4	19	18	139	16	7	56	4	26	116	43	9	75	267	21	20	46	15	18	26	7	32	16	21	11	35	6	6	26	3	12	18	0	30	12	9	2	19	3	0	64	128	3	4	4	7	0	1	2	0	2	3	3	8	14	16	17	6	3	3	56	6	8	26	2	17	10	6	21	25	9	14	173	109	5	1	5	14	83	15	10	12	24	0	21	8	8	9	18	3	12	114	9	3	16	14	20	5	18	50	102	64	0	52	5	2	25	2	6	88	3	38	38	8	25	7	4	7	124	8	21	36	27	9	32	42	11	20	2	17	57
Search Engine Roundtable	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	1	0	0	1	5	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	5	0	2	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	7	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	2	0	0	0	0	4	0	4	0	0	0	0	0	4	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	0	0	11	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	2	0	31	0	1	0	1	0	0	0	4	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	3	0	0	0	0	0	4	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	2	4	0	4	0	1	0	0	0	0	1	0	0	0	4	0	1	1	0	1	0	0	1
Copyblogger	0	1	0	0	0	2	0	2	4	0	1	0	0	0	0	1	0	0	3	1	0	2	2	3	1	1	0	0	0	8	0	0	0	1	2	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	2	1	0	2	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	5	0	0	0	1	0	11	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	1	2	2	0	0	0	0	3	0	0	0	0	1	0	0	10	1	6	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	1	1	0	2	0	0	0	0	0	0	1	1	2	0	0	1	0	1	0	1	1	0	0	18	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	10	1	0	0	1	0	1	0	0	0	0	3	1	0	0	1	0	1	2	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	1	1	0	1	2	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	3	1	0	0	0	0	0	0	3	0	1	0	0	3	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	4	0	6	1	1	3	0	4	0	1	0	0	1	2	1	1	0	0	0	0	0	0
Joi Ito's Web	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	3	2	0	0	0	0	0	2	1	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	4	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	8	0	0	3	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	1	0	0	3	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	2	1	0	1	0	0	0	0	2
Engadget RSS Feed	0	0	0	0	2	0	1	1	1	0	4	1	0	2	0	3	0	1	3	2	0	2	8	2	0	0	0	0	2	3	1	0	1	0	1	1	0	2	1	1	0	1	0	0	0	1	0	1	5	0	2	1	1	1	1	3	2	3	0	0	0	0	0	0	0	5	1	0	1	2	0	1	0	0	0	0	2	0	8	0	0	0	0	0	1	0	0	2	0	1	0	0	6	0	0	1	0	0	0	3	0	1	0	0	2	0	0	1	0	0	1	2	3	1	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	3	3	0	2	3	1	2	0	0	2	0	1	1	0	3	4	0	0	1	0	1	0	0	2	0	0	0	0	3	6	9	1	0	0	0	4	0	3	0	0	2	5	0	1	1	5	0	1	0	0	1	1	1	0	0	0	1	1	3	0	1	4	1	1	0	2	0	0	0	0	0	0	0	0	3	13	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	4	0	2	2	0	0	0	0	1	0	0	2	0	2	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	1	1	0	0	3	2	0	3	0	1	0	0	0	0	5	0	0	0	0	3	0	0	0	0	1	0	0	0	0	5	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	1	0	1	1	0	0	0	0	1	0	1	0	4	0	0	0	0	0	3	0	8	0	3	0	0	0	0	2	1	6	0	1	0	0	1	3	2	0	1	0	0	2	2	0	0	0	0	0	0	2	0	0	1	0	0	2	2	0	0	0	0	1	0	0	1	3	3	1	0	0	0	1	0	1	3	2	0	1	0	0	2	0	0	0	2	0	0	1	0	0	3	0	0	1	0	1	0	0	1	0	0	2	1	1	0	3	1	0	0	3	0	0	0	3	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	8	2	0	0	0	1	0	0	0	0	1	0	5	1	1	2	0	0	0	7	0	0	0	0	1	1	3	0	1	1	0	0
ThinkProgress - Medium	1	0	3	8	0	3	1	0	8	1	7	3	0	0	3	1	10	3	1	3	4	7	26	7	3	54	0	0	5	4	1	5	2	0	1	2	0	15	5	2	0	4	0	3	2	0	3	3	1	2	8	21	20	0	15	0	0	4	4	4	8	0	3	0	4	19	25	3	0	0	8	0	1	4	0	3	0	9	8	2	5	4	0	3	5	3	8	0	0	0	4	0	5	4	6	4	0	0	5	37	3	6	0	0	8	1	2	1	3	4	0	0	0	2	9	1	16	2	3	3	1	4	2	1	0	4	8	3	0	0	3	5	14	7	4	0	2	9	4	15	35	2	13	3	3	0	0	1	1	4	6	49	0	0	2	4	2	1	3	7	1	0	0	3	25	6	5	0	3	16	0	8	0	9	3	2	3	6	2	1	0	2	3	0	2	0	4	5	12	8	2	0	2	2	0	1	5	2	0	1	0	8	2	0	4	0	1	0	7	2	3	0	5	1	0	3	2	2	1	0	0	2	3	0	5	2	0	0	1	2	1	2	8	0	3	26	3	0	0	3	32	0	1	3	0	3	1	5	1	2	2	0	2	28	2	0	1	1	2	2	0	0	1	5	0	6	3	3	1	0	28	6	5	2	10	6	6	16	7	3	0	1	0	5	0	2	12	3	1	5	0	0	1	0	9	0	2	4	6	11	5	1	2	13	3	8	1	1	5	0	6	1	8	8	2	2	1	1	13	1	0	7	2	0	5	2	1	17	0	8	1	2	3	1	5	0	0	0	2	1	2	0	0	2	3	1	0	3	1	1	20	1	0	5	0	0	0	0	9	5	8	17	6	1	40	0	2	4	2	1	6	13	0	6	4	2	3	4	10	0	3	7	0	3	3	1	2	1	8	3	2	1	0	1	5	11	6	0	0	3	1	0	9	2	73	0	0	1	0	1	0	2	0	0	7	9	0	8	0	2	1	0	0	6	17	1	0	18	13	2	6	6	2	0	0	1	0	0	25	1	11	0	3	40	1	0	53	0	0	0	4	0	1	4	0	2	5	41	2	7	1	5	0	0	7	4	22	12	28	3	1	0	0	12	2	2	0	2	9	2	6	0	12	4	0	10
ProBlogger	8	24	4	40	3	1	8	132	116	19	154	2	2	0	8	23	1	24	34	21	96	31	27	27	5	146	19	3	4	89	5	6	9	31	34	2	0	67	17	14	2	1	15	9	4	0	48	28	3	42	86	71	77	8	46	5	6	27	47	15	0	8	10	8	6	89	213	16	2	1	2	7	10	0	7	2	0	0	1	20	8	129	0	40	59	3	53	4	33	5	34	3	32	12	17	24	38	10	14	42	23	58	18	1	41	15	9	36	16	36	4	19	22	12	1	56	40	5	5	16	13	6	2	10	11	1	158	4	2	8	5	7	73	2	0	11	77	23	87	105	147	41	288	14	23	7	9	0	104	5	59	80	9	5	0	4	4	75	0	264	6	9	2	5	73	38	17	13	7	1	4	21	11	8	4	16	44	15	21	9	66	381	4	30	58	17	3	5	40	6	27	8	14	31	69	84	0	25	0	0	8	2	4	23	0	12	10	33	11	21	0	0	138	5	10	17	0	81	14	196	6	5	3	6	0	0	22	0	44	18	7	14	22	6	8	839	126	64	4	15	25	9	1	2	6	1	2	29	8	9	2	5	40	0	20	5	4	7	9	3	66	3	2	30	4	58	85	0	4	4	16	1	22	13	168	44	6	142	2	8	2	3	4	20	7	7	30	3	11	14	2	21	40	1	29	5	2	72	106	50	9	56	14	20	10	140	9	17	0	0	107	41	2	12	4	21	40	19	0	3	7	21	38	7	26	40	6	2	5	15	29	9	19	2	40	48	4	10	6	20	15	59	2	27	36	5	4	6	5	60	56	0	2	9	5	4	8	9	78	7	3	94	2	32	44	7	0	93	148	15	15	52	16	28	71	7	14	11	17	11	19	4	15	6	0	17	2	2	34	4	1	19	7	7	0	17	78	18	4	3	3	0	75	1	1	1	3	5	2	6	7	10	11	4	4	36	31	0	10	1	33	10	25	37	3	2	138	177	140	5	2	1	21	10	4	6	3	102	3	13	4	0	5	6	5	6	154	7	92	1	10	0	14	3	4	99	23	0	88	0	3	4	2	5	59	0	66	44	75	21	8	6	11	49	5	6	2	44	55	29	17	4	8	18	6	75
mezzoblue	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	3	0	0	0	0	0	1	0	0	1	3	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	4	0	0	1	0	0	0	3	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	6	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0	0	2	0	0	0	0	1	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	3	0	0	4	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
Eschaton	2	0	1	0	0	0	1	6	6	1	8	1	1	1	0	1	2	0	4	1	3	3	13	0	0	19	3	1	1	5	0	1	0	0	1	0	0	8	2	2	1	0	1	0	0	0	3	2	2	1	1	1	6	0	2	0	1	1	1	2	0	0	1	0	2	5	11	0	0	0	0	0	0	0	0	0	1	3	2	3	0	9	0	1	0	3	5	0	3	0	0	0	1	0	0	0	0	0	2	5	3	0	0	0	5	1	0	4	2	1	0	0	0	0	2	0	3	2	1	4	0	0	0	2	0	1	1	2	0	0	0	1	8	0	0	0	3	1	2	10	27	2	5	1	1	0	0	1	0	0	2	5	0	0	0	2	0	1	1	11	0	0	0	0	20	0	0	0	1	4	0	8	0	2	1	1	2	0	7	1	0	4	3	1	1	2	0	1	1	1	2	0	2	0	5	0	1	4	0	1	4	0	2	4	1	0	3	1	2	0	2	0	8	0	1	3	0	1	0	3	0	0	1	0	1	0	0	0	3	0	1	3	0	0	0	37	3	0	1	0	4	0	1	0	0	1	0	8	1	1	1	0	3	2	1	0	1	0	1	1	0	5	0	0	1	13	7	0	8	0	0	1	1	0	16	3	0	10	2	2	0	4	0	1	0	0	0	0	2	1	0	3	0	0	2	0	0	3	7	2	0	0	0	1	7	9	0	0	0	0	1	1	3	1	0	2	0	0	1	0	0	2	0	0	0	9	2	1	1	0	0	0	0	0	6	0	0	3	0	1	1	2	1	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	4	0	6	3	0	1	3	5	1	4	9	0	2	4	0	0	0	1	0	1	0	0	4	0	2	3	0	1	1	0	4	1	0	0	1	0	0	2	4	1	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	1	1	2	0	0	10	2	0	0	0	0	1	0	2	0	2	8	1	0	0	2	5	1	0	19	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	4	0	6	9	7	2	0	2	1	8	0	1	1	5	6	1	0	0	0	1	1	8
